Level 1,Level 2,Level 3,Level 4,Bos Klasor,Video Suresi (saniye)
IC CAPTURE 01.11.23(MAK),FIRST,BSP,BSP-1,,8.92
IC CAPTURE 01.11.23(MAK),FIRST,BSP,BSP-5,,4.88
IC CAPTURE 01.11.23(MAK),FIRST,C,C-2,,6.72
IC CAPTURE 01.11.23(MAK),FIRST,C,C-8,,8.22
IC CAPTURE 01.11.23(MAK),FIRST,HC,HC-2,,1.98
IC CAPTURE 01.11.23(MAK),FIRST,HC,HC-23,,7.32
IC CAPTURE 01.11.23(MAK),FIRST,WSP,WSP-2,,6.42
IC CAPTURE 01.11.23(MAK),FIRST,WSP,WSP-11,,8.24
IC CAPTURE 01.11.23(MAK),SECOND,BSP,BSP-1,,4.9
IC CAPTURE 01.11.23(MAK),SECOND,BSP,BSP-5,,4.5
IC CAPTURE 01.11.23(MAK),SECOND,C,C-2,,6.04
IC CAPTURE 01.11.23(MAK),SECOND,C,C-8,EVET,0
IC CAPTURE 01.11.23(MAK),SECOND,HC,HC-2,,7.78
IC CAPTURE 01.11.23(MAK),SECOND,HC,HC-23,EVET,0
IC CAPTURE 01.11.23(MAK),SECOND,WSP,WSP-2,,5.88
IC CAPTURE 01.11.23(MAK),SECOND,WSP,WSP-11,,10.8
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-1,,5.26
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-5,,4.54
IC CAPTURE 01.11.23(MAK),THIRD,C,C-2,,6.44
IC CAPTURE 01.11.23(MAK),THIRD,C,C-8,EVET,0
IC CAPTURE 01.11.23(MAK),THIRD,HC,HC-2,,5.62
IC CAPTURE 01.11.23(MAK),THIRD,HC,HC-23,EVET,0
IC CAPTURE 01.11.23(MAK),THIRD,WSP,WSP-2,,5.82
IC CAPTURE 01.11.23(MAK),THIRD,WSP,WSP-11,EVET,0
IC CAPTURE 01.11.23-ANG,FIRST,BSP,BSP-1,,3.24
IC CAPTURE 01.11.23-ANG,FIRST,BSP,BSP-5,,3.34
IC CAPTURE 01.11.23-ANG,FIRST,C,C-2,,4.12
IC CAPTURE 01.11.23-ANG,FIRST,C,C-8,,3.76
IC CAPTURE 01.11.23-ANG,FIRST,HC,HC-2,,4.16
IC CAPTURE 01.11.23-ANG,FIRST,HC,HC-23,,4.84
IC CAPTURE 01.11.23-ANG,FIRST,WSP,WSP-2,,4.56
IC CAPTURE 01.11.23-ANG,FIRST,WSP,WSP-11,,5.66
IC CAPTURE 01.11.23-ANG,SECOND,BSP,BSP-1,,3.54
IC CAPTURE 01.11.23-ANG,SECOND,BSP,BSP-5,,2.88
IC CAPTURE 01.11.23-ANG,SECOND,C,C-2,,4.2
IC CAPTURE 01.11.23-ANG,SECOND,C,C-8,EVET,0
IC CAPTURE 01.11.23-ANG,SECOND,HC,HC-2,,4.22
IC CAPTURE 01.11.23-ANG,SECOND,HC,HC-23,EVET,0
IC CAPTURE 01.11.23-ANG,SECOND,WSP,WSP-2,,3.9
IC CAPTURE 01.11.23-ANG,SECOND,WSP,WSP-11,,33.12
IC CAPTURE 01.11.23-ANG,THIRD,BSP,BSP-1,,3.76
IC CAPTURE 01.11.23-ANG,THIRD,BSP,BSP-5,,3.04
IC CAPTURE 01.11.23-ANG,THIRD,C,C-2,,4.36
IC CAPTURE 01.11.23-ANG,THIRD,C,C-8,EVET,0
IC CAPTURE 01.11.23-ANG,THIRD,HC,HC-2,,4.16
IC CAPTURE 01.11.23-ANG,THIRD,HC,HC-23,EVET,0
IC CAPTURE 01.11.23-ANG,THIRD,WSP,WSP-2,,4.02
IC CAPTURE 01.11.23-ANG,THIRD,WSP,WSP-11,EVET,0
IC CAPTURE 06.11.23(MAK),FIRST,BSP,BSP-3,,3.4
IC CAPTURE 06.11.23(MAK),FIRST,BSP,BSP-26,,4.4
IC CAPTURE 06.11.23(MAK),FIRST,C,C-4,,3.86
IC CAPTURE 06.11.23(MAK),FIRST,C,C-26,,2.52
IC CAPTURE 06.11.23(MAK),FIRST,HC,HC-4,,4.38
IC CAPTURE 06.11.23(MAK),FIRST,HC,HC-30,,6.32
IC CAPTURE 06.11.23(MAK),FIRST,WSP,WSP-4,,1.22
IC CAPTURE 06.11.23(MAK),FIRST,WSP,WSP-19,,5.1
IC CAPTURE 06.11.23(MAK),SECOND,BSP,BSP-3,,3.34
IC CAPTURE 06.11.23(MAK),SECOND,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23(MAK),SECOND,C,C-4,,2.88
IC CAPTURE 06.11.23(MAK),SECOND,C,C-26,,2.48
IC CAPTURE 06.11.23(MAK),SECOND,HC,HC-4,,4.1
IC CAPTURE 06.11.23(MAK),SECOND,HC,HC-30,EVET,0
IC CAPTURE 06.11.23(MAK),SECOND,WSP,WSP-4,,4.06
IC CAPTURE 06.11.23(MAK),SECOND,WSP,WSP-19,,5.56
IC CAPTURE 06.11.23(MAK),THIRD,BSP,BSP-3,,3.44
IC CAPTURE 06.11.23(MAK),THIRD,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23(MAK),THIRD,C,C-4,,2.8
IC CAPTURE 06.11.23(MAK),THIRD,C,C-26,,2.46
IC CAPTURE 06.11.23(MAK),THIRD,HC,HC-4,,4.02
IC CAPTURE 06.11.23(MAK),THIRD,HC,HC-30,EVET,0
IC CAPTURE 06.11.23(MAK),THIRD,WSP,WSP-4,,4.02
IC CAPTURE 06.11.23(MAK),THIRD,WSP,WSP-19,,5.74
IC CAPTURE 06.11.23-ANG,FIRST,BSP,BSP-3,,3.3
IC CAPTURE 06.11.23-ANG,FIRST,BSP,BSP-26,,4.22
IC CAPTURE 06.11.23-ANG,FIRST,C,C-4,,3.8
IC CAPTURE 06.11.23-ANG,FIRST,C,C-26,,2.38
IC CAPTURE 06.11.23-ANG,FIRST,HC,HC-4,,3.84
IC CAPTURE 06.11.23-ANG,FIRST,HC,HC-30,,5.98
IC CAPTURE 06.11.23-ANG,FIRST,WSP,WSP-4,,3.68
IC CAPTURE 06.11.23-ANG,FIRST,WSP,WSP-19,,5.08
IC CAPTURE 06.11.23-ANG,SECOND,BSP,BSP-3,,3.02
IC CAPTURE 06.11.23-ANG,SECOND,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23-ANG,SECOND,C,C-4,,2.66
IC CAPTURE 06.11.23-ANG,SECOND,C,C-26,,2.22
IC CAPTURE 06.11.23-ANG,SECOND,HC,HC-4,,3.74
IC CAPTURE 06.11.23-ANG,SECOND,HC,HC-30,EVET,0
IC CAPTURE 06.11.23-ANG,SECOND,WSP,WSP-4,,3.88
IC CAPTURE 06.11.23-ANG,SECOND,WSP,WSP-19,,4.68
IC CAPTURE 06.11.23-ANG,THIRD,BSP,BSP-3,,3.2
IC CAPTURE 06.11.23-ANG,THIRD,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23-ANG,THIRD,C,C-4,,2.68
IC CAPTURE 06.11.23-ANG,THIRD,C,C-26,,2.34
IC CAPTURE 06.11.23-ANG,THIRD,HC,HC-4,,3.98
IC CAPTURE 06.11.23-ANG,THIRD,HC,HC-30,EVET,0
IC CAPTURE 06.11.23-ANG,THIRD,WSP,WSP-4,,3.86
IC CAPTURE 06.11.23-ANG,THIRD,WSP,WSP-19,,5.64
IC CAPTURE 10.11.23(MAK),FIRST,BSP,BSP-6,,2.06
IC CAPTURE 10.11.23(MAK),FIRST,BSP,BSP-16,,1.7
IC CAPTURE 10.11.23(MAK),FIRST,C,C-11,,1.22
IC CAPTURE 10.11.23(MAK),FIRST,C,C-12,,3.34
IC CAPTURE 10.11.23(MAK),FIRST,HC,HC-6,,0.02
IC CAPTURE 10.11.23(MAK),FIRST,HC,HC-12,,4.52
IC CAPTURE 10.11.23(MAK),FIRST,WSP,WSP-6,,4.26
IC CAPTURE 10.11.23(MAK),FIRST,WSP,WSP-15,,5.96
IC CAPTURE 10.11.23(MAK),SECOND,BSP,BSP-6,,3.8
IC CAPTURE 10.11.23(MAK),SECOND,BSP,BSP-16,,3.22
IC CAPTURE 10.11.23(MAK),SECOND,C,C-11,,2.4
IC CAPTURE 10.11.23(MAK),SECOND,C,C-12,EVET,0
IC CAPTURE 10.11.23(MAK),SECOND,HC,HC-6,,4.06
IC CAPTURE 10.11.23(MAK),SECOND,HC,HC-12,,4.76
IC CAPTURE 10.11.23(MAK),SECOND,WSP,WSP-6,,4.04
IC CAPTURE 10.11.23(MAK),SECOND,WSP,WSP-15,EVET,0
IC CAPTURE 10.11.23(MAK),THIRD,BSP,BSP-6,,3.26
IC CAPTURE 10.11.23(MAK),THIRD,BSP,BSP-16,,3.24
IC CAPTURE 10.11.23(MAK),THIRD,C,C-11,,2.5
IC CAPTURE 10.11.23(MAK),THIRD,C,C-12,EVET,0
IC CAPTURE 10.11.23(MAK),THIRD,HC,HC-6,,4.26
IC CAPTURE 10.11.23(MAK),THIRD,HC,HC-12,,2.12
IC CAPTURE 10.11.23(MAK),THIRD,WSP,WSP-6,,4.0
IC CAPTURE 10.11.23(MAK),THIRD,WSP,WSP-15,EVET,0
IC CAPTURE 10.11.23-ANG,FIRST,BSP,BSP-6,,3.88
IC CAPTURE 10.11.23-ANG,FIRST,BSP,BSP-16,,3.28
IC CAPTURE 10.11.23-ANG,FIRST,C,C-11,,2.34
IC CAPTURE 10.11.23-ANG,FIRST,C,C-12,,9.98
IC CAPTURE 10.11.23-ANG,FIRST,HC,HC-6,,3.96
IC CAPTURE 10.11.23-ANG,FIRST,HC,HC-12,,3.38
IC CAPTURE 10.11.23-ANG,FIRST,WSP,WSP-6,,3.86
IC CAPTURE 10.11.23-ANG,FIRST,WSP,WSP-15,,5.0
IC CAPTURE 10.11.23-ANG,SECOND,BSP,BSP-6,,3.6
IC CAPTURE 10.11.23-ANG,SECOND,BSP,BSP-16,,3.26
IC CAPTURE 10.11.23-ANG,SECOND,C,C-11,,2.5
IC CAPTURE 10.11.23-ANG,SECOND,C,C-12,EVET,0
IC CAPTURE 10.11.23-ANG,SECOND,HC,HC-6,,3.88
IC CAPTURE 10.11.23-ANG,SECOND,HC,HC-12,,4.56
IC CAPTURE 10.11.23-ANG,SECOND,WSP,WSP-6,,3.98
IC CAPTURE 10.11.23-ANG,SECOND,WSP,WSP-15,EVET,0
IC CAPTURE 10.11.23-ANG,THIRD,BSP,BSP-6,,2.98
IC CAPTURE 10.11.23-ANG,THIRD,BSP,BSP-16,,3.22
IC CAPTURE 10.11.23-ANG,THIRD,C,C-11,,2.42
IC CAPTURE 10.11.23-ANG,THIRD,C,C-12,EVET,0
IC CAPTURE 10.11.23-ANG,THIRD,HC,HC-6,,4.02
IC CAPTURE 10.11.23-ANG,THIRD,HC,HC-12,,4.18
IC CAPTURE 10.11.23-ANG,THIRD,WSP,WSP-6,,3.8
IC CAPTURE 10.11.23-ANG,THIRD,WSP,WSP-15,EVET,0
IC CAPTURE 17.11.23(MAK),FIRST,BSP,BSP-8,,3.16
IC CAPTURE 17.11.23(MAK),FIRST,BSP,BSP-10,,3.18
IC CAPTURE 17.11.23(MAK),FIRST,BSP,BSP-18,,3.14
IC CAPTURE 17.11.23(MAK),FIRST,BSP,BSP-23,,4.26
IC CAPTURE 17.11.23(MAK),FIRST,BSP,BSP-24,,4.28
IC CAPTURE 17.11.23(MAK),FIRST,C,C-13,,2.5
IC CAPTURE 17.11.23(MAK),FIRST,C,C-17,,16.76
IC CAPTURE 17.11.23(MAK),FIRST,C,C-18,,3.74
IC CAPTURE 17.11.23(MAK),FIRST,C,C-20,,4.06
IC CAPTURE 17.11.23(MAK),FIRST,C,C-24,,3.76
IC CAPTURE 17.11.23(MAK),FIRST,HC,HC-7,,4.04
IC CAPTURE 17.11.23(MAK),FIRST,HC,HC-8,,4.4
IC CAPTURE 17.11.23(MAK),FIRST,HC,HC-13,,4.6
IC CAPTURE 17.11.23(MAK),FIRST,HC,HC-14,,4.26
IC CAPTURE 17.11.23(MAK),FIRST,HC,HC-27,,2.9
IC CAPTURE 17.11.23(MAK),FIRST,WSP,WSP-7,,4.2
IC CAPTURE 17.11.23(MAK),FIRST,WSP,WSP-8,,3.62
IC CAPTURE 17.11.23(MAK),FIRST,WSP,WSP-16,,17.58
IC CAPTURE 17.11.23(MAK),FIRST,WSP,WSP-17,,5.98
IC CAPTURE 17.11.23(MAK),FIRST,WSP,WSP-23,,5.18
IC CAPTURE 17.11.23(MAK),SECOND,BSP,BSP-8,,3.86
IC CAPTURE 17.11.23(MAK),SECOND,BSP,BSP-10,,3.12
IC CAPTURE 17.11.23(MAK),SECOND,BSP,BSP-18,,3.2
IC CAPTURE 17.11.23(MAK),SECOND,BSP,BSP-23,,4.24
IC CAPTURE 17.11.23(MAK),SECOND,BSP,BSP-24,,3.3
IC CAPTURE 17.11.23(MAK),SECOND,C,C-13,EVET,0
IC CAPTURE 17.11.23(MAK),SECOND,C,C-17,EVET,0
IC CAPTURE 17.11.23(MAK),SECOND,C,C-18,,4.16
IC CAPTURE 17.11.23(MAK),SECOND,C,C-20,,4.16
IC CAPTURE 17.11.23(MAK),SECOND,C,C-24,,4.4
IC CAPTURE 17.11.23(MAK),SECOND,HC,HC-7,,3.8
IC CAPTURE 17.11.23(MAK),SECOND,HC,HC-8,,1.64
IC CAPTURE 17.11.23(MAK),SECOND,HC,HC-13,,2.34
IC CAPTURE 17.11.23(MAK),SECOND,HC,HC-14,,4.6
IC CAPTURE 17.11.23(MAK),SECOND,HC,HC-27,EVET,0
IC CAPTURE 17.11.23(MAK),SECOND,WSP,WSP-7,,6.42
IC CAPTURE 17.11.23(MAK),SECOND,WSP,WSP-8,,3.2
IC CAPTURE 17.11.23(MAK),SECOND,WSP,WSP-16,EVET,0
IC CAPTURE 17.11.23(MAK),SECOND,WSP,WSP-17,,5.86
IC CAPTURE 17.11.23(MAK),SECOND,WSP,WSP-23,,5.48
IC CAPTURE 17.11.23(MAK),THIRD,BSP,BSP-8,,3.2
IC CAPTURE 17.11.23(MAK),THIRD,BSP,BSP-10,,3.1
IC CAPTURE 17.11.23(MAK),THIRD,BSP,BSP-18,,1.04
IC CAPTURE 17.11.23(MAK),THIRD,BSP,BSP-23,,4.12
IC CAPTURE 17.11.23(MAK),THIRD,BSP,BSP-24,,5.54
IC CAPTURE 17.11.23(MAK),THIRD,C,C-13,EVET,0
IC CAPTURE 17.11.23(MAK),THIRD,C,C-17,EVET,0
IC CAPTURE 17.11.23(MAK),THIRD,C,C-18,EVET,0
IC CAPTURE 17.11.23(MAK),THIRD,C,C-20,,3.96
IC CAPTURE 17.11.23(MAK),THIRD,C,C-24,,2.8
IC CAPTURE 17.11.23(MAK),THIRD,HC,HC-7,,4.08
IC CAPTURE 17.11.23(MAK),THIRD,HC,HC-8,,4.12
IC CAPTURE 17.11.23(MAK),THIRD,HC,HC-13,,2.38
IC CAPTURE 17.11.23(MAK),THIRD,HC,HC-14,,4.82
IC CAPTURE 17.11.23(MAK),THIRD,HC,HC-27,EVET,0
IC CAPTURE 17.11.23(MAK),THIRD,WSP,WSP-7,,3.9
IC CAPTURE 17.11.23(MAK),THIRD,WSP,WSP-8,,4.12
IC CAPTURE 17.11.23(MAK),THIRD,WSP,WSP-16,EVET,0
IC CAPTURE 17.11.23(MAK),THIRD,WSP,WSP-17,,1.96
IC CAPTURE 17.11.23(MAK),THIRD,WSP,WSP-23,,5.68
IC CAPTURE 2.12.23(MAK),FIRST,BSP,BSP-9,,3.8
IC CAPTURE 2.12.23(MAK),FIRST,BSP,BSP-11,,3.18
IC CAPTURE 2.12.23(MAK),FIRST,BSP,BSP-21,,2.86
IC CAPTURE 2.12.23(MAK),FIRST,BSP,BSP-25,,3.36
IC CAPTURE 2.12.23(MAK),FIRST,BSP,BSP-27,,1.8
IC CAPTURE 2.12.23(MAK),FIRST,C,C-14,,11.02
IC CAPTURE 2.12.23(MAK),FIRST,C,C-19,,2.84
IC CAPTURE 2.12.23(MAK),FIRST,C,C-22,,3.74
IC CAPTURE 2.12.23(MAK),FIRST,C,C-23,,4.36
IC CAPTURE 2.12.23(MAK),FIRST,C,C-30,,1.72
IC CAPTURE 2.12.23(MAK),FIRST,HC,HC-11,,4.58
IC CAPTURE 2.12.23(MAK),FIRST,HC,HC-15,,4.3
IC CAPTURE 2.12.23(MAK),FIRST,HC,HC-21,,4.32
IC CAPTURE 2.12.23(MAK),FIRST,HC,HC-26,,2.46
IC CAPTURE 2.12.23(MAK),FIRST,HC,HC-32,,3.92
IC CAPTURE 2.12.23(MAK),FIRST,WSP,WSP-9,,4.16
IC CAPTURE 2.12.23(MAK),FIRST,WSP,WSP-12,,5.2
IC CAPTURE 2.12.23(MAK),FIRST,WSP,WSP-21,,4.5
IC CAPTURE 2.12.23(MAK),FIRST,WSP,WSP-28,,2.72
IC CAPTURE 2.12.23(MAK),FIRST,WSP,WSP-30,,3.58
IC CAPTURE 2.12.23(MAK),SECOND,BSP,BSP-9,,3.1
IC CAPTURE 2.12.23(MAK),SECOND,BSP,BSP-11,,3.14
IC CAPTURE 2.12.23(MAK),SECOND,BSP,BSP-21,,2.76
IC CAPTURE 2.12.23(MAK),SECOND,BSP,BSP-25,,3.24
IC CAPTURE 2.12.23(MAK),SECOND,BSP,BSP-27,,2.02
IC CAPTURE 2.12.23(MAK),SECOND,C,C-14,,2.98
IC CAPTURE 2.12.23(MAK),SECOND,C,C-19,,2.66
IC CAPTURE 2.12.23(MAK),SECOND,C,C-22,,3.58
IC CAPTURE 2.12.23(MAK),SECOND,C,C-23,,3.54
IC CAPTURE 2.12.23(MAK),SECOND,C,C-30,,1.34
IC CAPTURE 2.12.23(MAK),SECOND,HC,HC-11,,4.08
IC CAPTURE 2.12.23(MAK),SECOND,HC,HC-15,,4.22
IC CAPTURE 2.12.23(MAK),SECOND,HC,HC-21,,4.18
IC CAPTURE 2.12.23(MAK),SECOND,HC,HC-26,EVET,0
IC CAPTURE 2.12.23(MAK),SECOND,HC,HC-32,EVET,0
IC CAPTURE 2.12.23(MAK),SECOND,WSP,WSP-9,,2.22
IC CAPTURE 2.12.23(MAK),SECOND,WSP,WSP-12,,5.24
IC CAPTURE 2.12.23(MAK),SECOND,WSP,WSP-21,,2.34
IC CAPTURE 2.12.23(MAK),SECOND,WSP,WSP-28,,5.82
IC CAPTURE 2.12.23(MAK),SECOND,WSP,WSP-30,,5.36
IC CAPTURE 2.12.23(MAK),THIRD,BSP,BSP-9,,3.02
IC CAPTURE 2.12.23(MAK),THIRD,BSP,BSP-11,,3.12
IC CAPTURE 2.12.23(MAK),THIRD,BSP,BSP-21,,2.72
IC CAPTURE 2.12.23(MAK),THIRD,BSP,BSP-25,,3.2
IC CAPTURE 2.12.23(MAK),THIRD,BSP,BSP-27,,3.7
IC CAPTURE 2.12.23(MAK),THIRD,C,C-14,,2.62
IC CAPTURE 2.12.23(MAK),THIRD,C,C-19,,2.9
IC CAPTURE 2.12.23(MAK),THIRD,C,C-22,,1.78
IC CAPTURE 2.12.23(MAK),THIRD,C,C-23,,3.58
IC CAPTURE 2.12.23(MAK),THIRD,C,C-30,,2.64
IC CAPTURE 2.12.23(MAK),THIRD,HC,HC-11,,4.1
IC CAPTURE 2.12.23(MAK),THIRD,HC,HC-15,,4.22
IC CAPTURE 2.12.23(MAK),THIRD,HC,HC-21,,1.02
IC CAPTURE 2.12.23(MAK),THIRD,HC,HC-26,EVET,0
IC CAPTURE 2.12.23(MAK),THIRD,HC,HC-32,EVET,0
IC CAPTURE 2.12.23(MAK),THIRD,WSP,WSP-9,,4.84
IC CAPTURE 2.12.23(MAK),THIRD,WSP,WSP-12,,3.92
IC CAPTURE 2.12.23(MAK),THIRD,WSP,WSP-21,,4.32
IC CAPTURE 2.12.23(MAK),THIRD,WSP,WSP-28,,5.8
IC CAPTURE 2.12.23(MAK),THIRD,WSP,WSP-30,,5.32
IC CAPTURE 2.12.23-ANG,FIRST,BSP,BSP-9,,3.78
IC CAPTURE 2.12.23-ANG,FIRST,BSP,BSP-11,,3.18
IC CAPTURE 2.12.23-ANG,FIRST,BSP,BSP-21,,2.78
IC CAPTURE 2.12.23-ANG,FIRST,BSP,BSP-25,,3.14
IC CAPTURE 2.12.23-ANG,FIRST,BSP,BSP-27,,3.84
IC CAPTURE 2.12.23-ANG,FIRST,C,C-14,,2.66
IC CAPTURE 2.12.23-ANG,FIRST,C,C-19,,2.66
IC CAPTURE 2.12.23-ANG,FIRST,C,C-22,,3.7
IC CAPTURE 2.12.23-ANG,FIRST,C,C-23,,4.06
IC CAPTURE 2.12.23-ANG,FIRST,C,C-30,,3.26
IC CAPTURE 2.12.23-ANG,FIRST,HC,HC-11,,6.62
IC CAPTURE 2.12.23-ANG,FIRST,HC,HC-15,,4.14
IC CAPTURE 2.12.23-ANG,FIRST,HC,HC-21,,4.12
IC CAPTURE 2.12.23-ANG,FIRST,HC,HC-26,,5.16
IC CAPTURE 2.12.23-ANG,FIRST,HC,HC-32,,3.78
IC CAPTURE 2.12.23-ANG,FIRST,WSP,WSP-9,,4.02
IC CAPTURE 2.12.23-ANG,FIRST,WSP,WSP-12,,5.04
IC CAPTURE 2.12.23-ANG,FIRST,WSP,WSP-21,,4.24
IC CAPTURE 2.12.23-ANG,FIRST,WSP,WSP-28,,5.74
IC CAPTURE 2.12.23-ANG,FIRST,WSP,WSP-30,,6.28
IC CAPTURE 2.12.23-ANG,SECOND,BSP,BSP-9,,3.14
IC CAPTURE 2.12.23-ANG,SECOND,BSP,BSP-11,,3.02
IC CAPTURE 2.12.23-ANG,SECOND,BSP,BSP-21,,2.74
IC CAPTURE 2.12.23-ANG,SECOND,BSP,BSP-25,,3.22
IC CAPTURE 2.12.23-ANG,SECOND,BSP,BSP-27,,3.68
IC CAPTURE 2.12.23-ANG,SECOND,C,C-14,,2.88
IC CAPTURE 2.12.23-ANG,SECOND,C,C-19,,2.6
IC CAPTURE 2.12.23-ANG,SECOND,C,C-22,,3.54
IC CAPTURE 2.12.23-ANG,SECOND,C,C-23,,1.48
IC CAPTURE 2.12.23-ANG,SECOND,C,C-30,,2.62
IC CAPTURE 2.12.23-ANG,SECOND,HC,HC-11,,4.06
IC CAPTURE 2.12.23-ANG,SECOND,HC,HC-15,,4.28
IC CAPTURE 2.12.23-ANG,SECOND,HC,HC-21,,3.8
IC CAPTURE 2.12.23-ANG,SECOND,HC,HC-26,EVET,0
IC CAPTURE 2.12.23-ANG,SECOND,HC,HC-32,EVET,0
IC CAPTURE 2.12.23-ANG,SECOND,WSP,WSP-9,,3.92
IC CAPTURE 2.12.23-ANG,SECOND,WSP,WSP-12,,5.06
IC CAPTURE 2.12.23-ANG,SECOND,WSP,WSP-21,,4.2
IC CAPTURE 2.12.23-ANG,SECOND,WSP,WSP-28,,5.66
IC CAPTURE 2.12.23-ANG,SECOND,WSP,WSP-30,,5.14
IC CAPTURE 2.12.23-ANG,THIRD,BSP,BSP-9,,3.94
IC CAPTURE 2.12.23-ANG,THIRD,BSP,BSP-11,,2.96
IC CAPTURE 2.12.23-ANG,THIRD,BSP,BSP-21,,2.66
IC CAPTURE 2.12.23-ANG,THIRD,BSP,BSP-25,,3.16
IC CAPTURE 2.12.23-ANG,THIRD,BSP,BSP-27,,3.68
IC CAPTURE 2.12.23-ANG,THIRD,C,C-14,,2.34
IC CAPTURE 2.12.23-ANG,THIRD,C,C-19,,2.7
IC CAPTURE 2.12.23-ANG,THIRD,C,C-22,,5.5
IC CAPTURE 2.12.23-ANG,THIRD,C,C-23,,3.3
IC CAPTURE 2.12.23-ANG,THIRD,C,C-30,,2.56
IC CAPTURE 2.12.23-ANG,THIRD,HC,HC-11,,4.18
IC CAPTURE 2.12.23-ANG,THIRD,HC,HC-15,,4.22
IC CAPTURE 2.12.23-ANG,THIRD,HC,HC-21,,4.0
IC CAPTURE 2.12.23-ANG,THIRD,HC,HC-26,EVET,0
IC CAPTURE 2.12.23-ANG,THIRD,HC,HC-32,EVET,0
IC CAPTURE 2.12.23-ANG,THIRD,WSP,WSP-9,,2.8
IC CAPTURE 2.12.23-ANG,THIRD,WSP,WSP-12,,3.78
IC CAPTURE 2.12.23-ANG,THIRD,WSP,WSP-21,,4.16
IC CAPTURE 2.12.23-ANG,THIRD,WSP,WSP-28,,5.48
IC CAPTURE 2.12.23-ANG,THIRD,WSP,WSP-30,,5.2
IC CAPTURE 9.12.23 (MAK),FIRST,BSP,BSP-12,,3.28
IC CAPTURE 9.12.23 (MAK),FIRST,BSP,BSP-17,,2.44
IC CAPTURE 9.12.23 (MAK),FIRST,BSP,BSP-28,,3.54
IC CAPTURE 9.12.23 (MAK),FIRST,BSP,BSP-29,,3.82
IC CAPTURE 9.12.23 (MAK),FIRST,BSP,BSP-31,,3.38
IC CAPTURE 9.12.23 (MAK),FIRST,C,C-15,,4.38
IC CAPTURE 9.12.23 (MAK),FIRST,C,C-16,,3.4
IC CAPTURE 9.12.23 (MAK),FIRST,C,C-25,,2.78
IC CAPTURE 9.12.23 (MAK),FIRST,C,C-27,,3.36
IC CAPTURE 9.12.23 (MAK),FIRST,C,C-29,,0.58
