Level 1,Level 2,Level 3,Level 4,Bos Klasor,Video Suresi (saniye)
IC CAPTURE 9.12.23 (MAK),FIRST,HC,HC-16,,4.32
IC CAPTURE 9.12.23 (MAK),FIRST,HC,HC-22,,4.74
IC CAPTURE 9.12.23 (MAK),FIRST,HC,HC-24,,2.4
IC CAPTURE 9.12.23 (MAK),FIRST,HC,HC-29,,3.66
IC CAPTURE 9.12.23 (MAK),FIRST,HC,HC-31,,4.94
IC CAPTURE 9.12.23 (MAK),FIRST,WSP,WSP-18,,4.26
IC CAPTURE 9.12.23 (MAK),FIRST,WSP,WSP-20,,2.6
IC CAPTURE 9.12.23 (MAK),FIRST,WSP,WSP-26,,5.48
IC CAPTURE 9.12.23 (MAK),FIRST,WSP,WSP-27,,5.28
IC CAPTURE 9.12.23 (MAK),FIRST,WSP,WSP-31,,3.96
IC CAPTURE 9.12.23 (MAK),SECOND,BSP,BSP-12,,3.28
IC CAPTURE 9.12.23 (MAK),SECOND,BSP,BSP-17,,3.06
IC CAPTURE 9.12.23 (MAK),SECOND,BSP,BSP-28,,3.24
IC CAPTURE 9.12.23 (MAK),SECOND,BSP,BSP-29,,4.26
IC CAPTURE 9.12.23 (MAK),SECOND,BSP,BSP-31,,5.1
IC CAPTURE 9.12.23 (MAK),SECOND,C,C-15,,1.88
IC CAPTURE 9.12.23 (MAK),SECOND,C,C-16,EVET,0
IC CAPTURE 9.12.23 (MAK),SECOND,C,C-25,,3.38
IC CAPTURE 9.12.23 (MAK),SECOND,C,C-27,,2.14
IC CAPTURE 9.12.23 (MAK),SECOND,C,C-29,,3.84
IC CAPTURE 9.12.23 (MAK),SECOND,HC,HC-16,EVET,0
IC CAPTURE 9.12.23 (MAK),SECOND,HC,HC-22,,4.5
IC CAPTURE 9.12.23 (MAK),SECOND,HC,HC-24,,3.48
IC CAPTURE 9.12.23 (MAK),SECOND,HC,HC-29,EVET,0
IC CAPTURE 9.12.23 (MAK),SECOND,HC,HC-31,EVET,0
IC CAPTURE 9.12.23 (MAK),SECOND,WSP,WSP-18,,3.22
IC CAPTURE 9.12.23 (MAK),SECOND,WSP,WSP-20,,4.1
IC CAPTURE 9.12.23 (MAK),SECOND,WSP,WSP-26,,4.18
IC CAPTURE 9.12.23 (MAK),SECOND,WSP,WSP-27,,5.2
IC CAPTURE 9.12.23 (MAK),SECOND,WSP,WSP-31,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,BSP,BSP-12,,3.16
IC CAPTURE 9.12.23 (MAK),THIRD,BSP,BSP-17,,3.02
IC CAPTURE 9.12.23 (MAK),THIRD,BSP,BSP-28,,3.36
IC CAPTURE 9.12.23 (MAK),THIRD,BSP,BSP-29,,3.8
IC CAPTURE 9.12.23 (MAK),THIRD,BSP,BSP-31,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,C,C-15,,2.68
IC CAPTURE 9.12.23 (MAK),THIRD,C,C-16,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,C,C-25,,2.06
IC CAPTURE 9.12.23 (MAK),THIRD,C,C-27,,2.96
IC CAPTURE 9.12.23 (MAK),THIRD,C,C-29,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,HC,HC-16,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,HC,HC-22,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,HC,HC-24,,2.3
IC CAPTURE 9.12.23 (MAK),THIRD,HC,HC-29,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,HC,HC-31,EVET,0
IC CAPTURE 9.12.23 (MAK),THIRD,WSP,WSP-18,,4.02
IC CAPTURE 9.12.23 (MAK),THIRD,WSP,WSP-20,,4.0
IC CAPTURE 9.12.23 (MAK),THIRD,WSP,WSP-26,,7.4
IC CAPTURE 9.12.23 (MAK),THIRD,WSP,WSP-27,,5.08
IC CAPTURE 9.12.23 (MAK),THIRD,WSP,WSP-31,EVET,0
IC CAPTURE 9.12.23(ANG),FIRST,BSP,BSP-12,,3.18
IC CAPTURE 9.12.23(ANG),FIRST,BSP,BSP-17,,3.08
IC CAPTURE 9.12.23(ANG),FIRST,BSP,BSP-28,,3.36
IC CAPTURE 9.12.23(ANG),FIRST,BSP,BSP-29,,3.8
IC CAPTURE 9.12.23(ANG),FIRST,BSP,BSP-31,,3.52
IC CAPTURE 9.12.23(ANG),FIRST,C,C-15,,2.6
IC CAPTURE 9.12.23(ANG),FIRST,C,C-16,,3.48
IC CAPTURE 9.12.23(ANG),FIRST,C,C-25,,2.72
IC CAPTURE 9.12.23(ANG),FIRST,C,C-27,,3.32
IC CAPTURE 9.12.23(ANG),FIRST,C,C-29,,3.48
IC CAPTURE 9.12.23(ANG),FIRST,HC,HC-16,,4.54
IC CAPTURE 9.12.23(ANG),FIRST,HC,HC-22,,4.4
IC CAPTURE 9.12.23(ANG),FIRST,HC,HC-24,,4.24
IC CAPTURE 9.12.23(ANG),FIRST,HC,HC-29,,3.92
IC CAPTURE 9.12.23(ANG),FIRST,HC,HC-31,,4.9
IC CAPTURE 9.12.23(ANG),FIRST,WSP,WSP-18,,3.92
IC CAPTURE 9.12.23(ANG),FIRST,WSP,WSP-20,,5.16
IC CAPTURE 9.12.23(ANG),FIRST,WSP,WSP-26,,5.32
IC CAPTURE 9.12.23(ANG),FIRST,WSP,WSP-27,,4.78
IC CAPTURE 9.12.23(ANG),FIRST,WSP,WSP-31,,3.86
IC CAPTURE 9.12.23(ANG),SECOND,BSP,BSP-12,,3.06
IC CAPTURE 9.12.23(ANG),SECOND,BSP,BSP-17,,3.06
IC CAPTURE 9.12.23(ANG),SECOND,BSP,BSP-28,,3.24
IC CAPTURE 9.12.23(ANG),SECOND,BSP,BSP-29,,3.88
IC CAPTURE 9.12.23(ANG),SECOND,BSP,BSP-31,,4.96
IC CAPTURE 9.12.23(ANG),SECOND,C,C-15,,3.24
IC CAPTURE 9.12.23(ANG),SECOND,C,C-16,EVET,0
IC CAPTURE 9.12.23(ANG),SECOND,C,C-25,,3.22
IC CAPTURE 9.12.23(ANG),SECOND,C,C-27,,2.72
IC CAPTURE 9.12.23(ANG),SECOND,C,C-29,,16.44
IC CAPTURE 9.12.23(ANG),SECOND,HC,HC-16,EVET,0
IC CAPTURE 9.12.23(ANG),SECOND,HC,HC-22,,4.16
IC CAPTURE 9.12.23(ANG),SECOND,HC,HC-24,,4.44
IC CAPTURE 9.12.23(ANG),SECOND,HC,HC-29,EVET,0
IC CAPTURE 9.12.23(ANG),SECOND,HC,HC-31,EVET,0
IC CAPTURE 9.12.23(ANG),SECOND,WSP,WSP-18,,3.92
IC CAPTURE 9.12.23(ANG),SECOND,WSP,WSP-20,,3.92
IC CAPTURE 9.12.23(ANG),SECOND,WSP,WSP-26,,4.02
IC CAPTURE 9.12.23(ANG),SECOND,WSP,WSP-27,,4.86
IC CAPTURE 9.12.23(ANG),SECOND,WSP,WSP-31,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,BSP,BSP-12,,3.14
IC CAPTURE 9.12.23(ANG),THIRD,BSP,BSP-17,,3.12
IC CAPTURE 9.12.23(ANG),THIRD,BSP,BSP-28,,3.26
IC CAPTURE 9.12.23(ANG),THIRD,BSP,BSP-29,,3.84
IC CAPTURE 9.12.23(ANG),THIRD,BSP,BSP-31,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,C,C-15,,3.38
IC CAPTURE 9.12.23(ANG),THIRD,C,C-16,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,C,C-25,,3.28
IC CAPTURE 9.12.23(ANG),THIRD,C,C-27,,2.82
IC CAPTURE 9.12.23(ANG),THIRD,C,C-29,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,HC,HC-16,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,HC,HC-22,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,HC,HC-24,,4.18
IC CAPTURE 9.12.23(ANG),THIRD,HC,HC-29,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,HC,HC-31,EVET,0
IC CAPTURE 9.12.23(ANG),THIRD,WSP,WSP-18,,3.7
IC CAPTURE 9.12.23(ANG),THIRD,WSP,WSP-20,,3.96
IC CAPTURE 9.12.23(ANG),THIRD,WSP,WSP-26,,6.4
IC CAPTURE 9.12.23(ANG),THIRD,WSP,WSP-27,,4.64
IC CAPTURE 9.12.23(ANG),THIRD,WSP,WSP-31,EVET,0
IC CAPTURE 03.02.2024-ANG,FIRST,BSP,BSP-20,,3.32
IC CAPTURE 03.02.2024-ANG,FIRST,BSP,BSP-37,,3.3
IC CAPTURE 03.02.2024-ANG,FIRST,BSP,BSP-39,,3.7
IC CAPTURE 03.02.2024-ANG,FIRST,BSP,BSP-41,,3.22
IC CAPTURE 03.02.2024-ANG,FIRST,BSP,BSP-44,,2.9
IC CAPTURE 03.02.2024-ANG,FIRST,C,C-38,,3.72
IC CAPTURE 03.02.2024-ANG,FIRST,C,C-41,,3.44
IC CAPTURE 03.02.2024-ANG,FIRST,C,C-42,,4.18
IC CAPTURE 03.02.2024-ANG,FIRST,C,C-43,,3.68
IC CAPTURE 03.02.2024-ANG,FIRST,C,C-44,,3.54
IC CAPTURE 03.02.2024-ANG,FIRST,HC,HC-18,,4.24
IC CAPTURE 03.02.2024-ANG,FIRST,HC,HC-19,,4.28
IC CAPTURE 03.02.2024-ANG,FIRST,HC,HC-20,,4.18
IC CAPTURE 03.02.2024-ANG,FIRST,HC,HC-36,,6.4
IC CAPTURE 03.02.2024-ANG,FIRST,HC,HC-39,,3.72
IC CAPTURE 03.02.2024-ANG,FIRST,WSP,WSP-36,,6.12
IC CAPTURE 03.02.2024-ANG,FIRST,WSP,WSP-37,,4.68
IC CAPTURE 03.02.2024-ANG,FIRST,WSP,WSP-38,,3.96
IC CAPTURE 03.02.2024-ANG,FIRST,WSP,WSP-39,,4.68
IC CAPTURE 03.02.2024-ANG,FIRST,WSP,WSP-40,,5.52
IC CAPTURE 03.02.2024-ANG,SECOND,BSP,BSP-20,,3.0
IC CAPTURE 03.02.2024-ANG,SECOND,BSP,BSP-37,,3.28
IC CAPTURE 03.02.2024-ANG,SECOND,BSP,BSP-39,,4.18
IC CAPTURE 03.02.2024-ANG,SECOND,BSP,BSP-41,,3.0
IC CAPTURE 03.02.2024-ANG,SECOND,BSP,BSP-44,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,C,C-38,,3.84
IC CAPTURE 03.02.2024-ANG,SECOND,C,C-41,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,C,C-42,,3.64
IC CAPTURE 03.02.2024-ANG,SECOND,C,C-43,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,C,C-44,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,HC,HC-18,,4.26
IC CAPTURE 03.02.2024-ANG,SECOND,HC,HC-19,,4.2
IC CAPTURE 03.02.2024-ANG,SECOND,HC,HC-20,,4.32
IC CAPTURE 03.02.2024-ANG,SECOND,HC,HC-36,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,HC,HC-39,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,WSP,WSP-36,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,WSP,WSP-37,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,WSP,WSP-38,EVET,0
IC CAPTURE 03.02.2024-ANG,SECOND,WSP,WSP-39,,4.7
IC CAPTURE 03.02.2024-ANG,SECOND,WSP,WSP-40,,5.62
IC CAPTURE 03.02.2024-ANG,THIRD,BSP,BSP-20,,2.96
IC CAPTURE 03.02.2024-ANG,THIRD,BSP,BSP-37,,3.04
IC CAPTURE 03.02.2024-ANG,THIRD,BSP,BSP-39,,3.88
IC CAPTURE 03.02.2024-ANG,THIRD,BSP,BSP-41,,3.46
IC CAPTURE 03.02.2024-ANG,THIRD,BSP,BSP-44,,3.54
IC CAPTURE 03.02.2024-ANG,THIRD,C,C-38,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,C,C-41,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,C,C-42,,2.78
IC CAPTURE 03.02.2024-ANG,THIRD,C,C-43,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,C,C-44,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,HC,HC-18,,4.04
IC CAPTURE 03.02.2024-ANG,THIRD,HC,HC-19,,4.12
IC CAPTURE 03.02.2024-ANG,THIRD,HC,HC-20,,3.9
IC CAPTURE 03.02.2024-ANG,THIRD,HC,HC-36,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,HC,HC-39,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,WSP,WSP-36,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,WSP,WSP-37,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,WSP,WSP-38,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,WSP,WSP-39,EVET,0
IC CAPTURE 03.02.2024-ANG,THIRD,WSP,WSP-40,,5.6
IC CAPTURE 10.02.2024 ANG,FIRST,BSP,BSP-46,,3.88
IC CAPTURE 10.02.2024 ANG,FIRST,BSP,BSP-47,,3.78
IC CAPTURE 10.02.2024 ANG,FIRST,BSP,BSP-48,,3.86
IC CAPTURE 10.02.2024 ANG,FIRST,BSP,BSP-49,,3.76
IC CAPTURE 10.02.2024 ANG,FIRST,BSP,BSP-50,,3.3
IC CAPTURE 10.02.2024 ANG,FIRST,C,C-45,EVET,0
IC CAPTURE 10.02.2024 ANG,FIRST,C,C-46,,3.76
IC CAPTURE 10.02.2024 ANG,FIRST,C,C-47,,7.34
IC CAPTURE 10.02.2024 ANG,FIRST,C,C-49,,2.76
IC CAPTURE 10.02.2024 ANG,FIRST,C,C-50,,2.46
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-40,,6.12
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-41,,4.14
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-42,,3.1
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-43,,4.04
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-44,,4.3
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-45,,5.3
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-46,,4.36
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-47,,4.42
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-48,,5.1
IC CAPTURE 10.02.2024 ANG,FIRST,HC,HC-50,,5.22
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-41,,5.78
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-42,,5.3
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-43,,3.98
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-44,,6.16
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-45,,6.32
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-46,,4.48
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-47,,6.4
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-48,,5.46
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-49,,5.36
IC CAPTURE 10.02.2024 ANG,FIRST,WSP,WSP-50,,5.44
IC CAPTURE 10.02.2024 ANG,SECOND,BSP,BSP-46,,3.92
IC CAPTURE 10.02.2024 ANG,SECOND,BSP,BSP-47,,3.24
IC CAPTURE 10.02.2024 ANG,SECOND,BSP,BSP-48,,4.18
IC CAPTURE 10.02.2024 ANG,SECOND,BSP,BSP-49,,3.8
IC CAPTURE 10.02.2024 ANG,SECOND,BSP,BSP-50,,2.78
IC CAPTURE 10.02.2024 ANG,SECOND,C,C-45,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,C,C-46,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,C,C-47,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,C,C-49,,2.68
IC CAPTURE 10.02.2024 ANG,SECOND,C,C-50,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-40,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-41,,4.86
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-42,,3.72
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-43,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-44,,4.04
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-45,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-46,,4.06
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-47,,4.24
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-48,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,HC,HC-50,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-41,,3.92
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-42,,5.16
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-43,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-44,,5.78
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-45,,5.92
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-46,,5.86
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-47,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-48,EVET,0
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-49,,7.26
IC CAPTURE 10.02.2024 ANG,SECOND,WSP,WSP-50,,5.7
IC CAPTURE 10.02.2024 ANG,THIRD,BSP,BSP-46,,4.28
IC CAPTURE 10.02.2024 ANG,THIRD,BSP,BSP-47,,3.28
IC CAPTURE 10.02.2024 ANG,THIRD,BSP,BSP-48,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,BSP,BSP-49,,4.82
IC CAPTURE 10.02.2024 ANG,THIRD,BSP,BSP-50,,3.26
IC CAPTURE 10.02.2024 ANG,THIRD,C,C-45,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,C,C-46,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,C,C-47,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,C,C-49,,3.52
IC CAPTURE 10.02.2024 ANG,THIRD,C,C-50,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-40,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-41,,6.1
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-42,,3.7
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-43,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-44,,4.18
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-45,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-46,,6.28
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-47,,4.34
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-48,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,HC,HC-50,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-41,,5.98
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-42,,5.16
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-43,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-44,,5.82
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-45,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-46,,4.54
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-47,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-48,EVET,0
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-49,,4.6
IC CAPTURE 10.02.2024 ANG,THIRD,WSP,WSP-50,EVET,0
IC CAPTURE 10.02.2024-MAK,FIRST,BSP,BSP-46,,1.94
IC CAPTURE 10.02.2024-MAK,FIRST,BSP,BSP-47,,3.82
IC CAPTURE 10.02.2024-MAK,FIRST,BSP,BSP-48,,3.9
IC CAPTURE 10.02.2024-MAK,FIRST,BSP,BSP-49,,4.1
IC CAPTURE 10.02.2024-MAK,FIRST,BSP,BSP-50,,3.52
IC CAPTURE 10.02.2024-MAK,FIRST,C,C-45,EVET,0
IC CAPTURE 10.02.2024-MAK,FIRST,C,C-46,,4.06
IC CAPTURE 10.02.2024-MAK,FIRST,C,C-47,,7.86
IC CAPTURE 10.02.2024-MAK,FIRST,C,C-49,,2.78
IC CAPTURE 10.02.2024-MAK,FIRST,C,C-50,,2.98
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-40,,6.68
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-41,,4.36
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-42,,3.96
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-43,,3.92
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-44,,4.62
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-45,,5.66
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-46,,4.56
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-47,,4.44
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-48,,5.46
IC CAPTURE 10.02.2024-MAK,FIRST,HC,HC-50,,15.94
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-41,,4.1
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-42,,4.92
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-43,,2.26
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-44,,6.22
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-45,,17.84
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-46,,4.6
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-47,,6.62
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-48,,5.58
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-49,,5.46
IC CAPTURE 10.02.2024-MAK,FIRST,WSP,WSP-50,,5.38
IC CAPTURE 10.02.2024-MAK,SECOND,BSP,BSP-46,,3.86
IC CAPTURE 10.02.2024-MAK,SECOND,BSP,BSP-47,,3.24
IC CAPTURE 10.02.2024-MAK,SECOND,BSP,BSP-48,,1.82
IC CAPTURE 10.02.2024-MAK,SECOND,BSP,BSP-49,,4.02
IC CAPTURE 10.02.2024-MAK,SECOND,BSP,BSP-50,,3.1
IC CAPTURE 10.02.2024-MAK,SECOND,C,C-45,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,C,C-46,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,C,C-47,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,C,C-49,,2.8
IC CAPTURE 10.02.2024-MAK,SECOND,C,C-50,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-40,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-41,,6.98
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-42,,3.76
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-43,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-44,,4.04
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-45,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-46,,2.46
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-47,,4.34
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-48,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,HC,HC-50,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-41,,4.5
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-42,,5.46
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-43,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-44,,6.14
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-45,,7.2
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-46,,5.94
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-47,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-48,EVET,0
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-49,,5.34
IC CAPTURE 10.02.2024-MAK,SECOND,WSP,WSP-50,,7.78
IC CAPTURE 10.02.2024-MAK,THIRD,BSP,BSP-46,,4.38
IC CAPTURE 10.02.2024-MAK,THIRD,BSP,BSP-47,,3.28
