category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,dim_a,dim_b,dim_c,corey_sf,sphericity,flatness,elongation,powers_roundness
ABS C,C-1,0,Cylinder,5.44,5.293333333333333,0.0,1175.7719647634667,4.62,1.3010764773832468,2,123.0316714408338,136.9499824713682,1.0275136938865457,0.8983628245715984,5.44,5.293333333333333,5.293333333333333,0.9864275014851697,0.8735077440815741,1.0,0.9730392156862744,0.9819443956439807
ABS C,C-10,0,Cylinder,3.3433333333333333,3.16,0.0,1193.9853891589855,2.8825000000000003,0.6323698812140462,4,27.7419075804191,50.74888630036156,1.0576821680902668,0.5466397976978612,3.3433333333333333,3.16,3.16,0.9721957140825906,0.8732698956236626,1.0,0.9451645064805584,0.9631004879168976
ABS C,C-11,0,Cylinder,5.489999999999999,3.27,0.0,1100.001055228801,3.61,0.0,1,77.40737193369245,103.74277216427087,1.6783858147355548,0.7461399399582597,5.489999999999999,3.27,3.27,0.7717696646672156,0.8466706223559587,1.0,0.5956284153005466,0.7079190600821605
ABS C,C-12,0,Cylinder,3.3866666666666667,3.293333333333333,0.0,1093.4213870778954,3.06,0.5028584956691758,4,29.666784553974978,53.05577523918507,1.028027926742892,0.5591516713979364,3.3866666666666667,3.293333333333333,3.293333333333333,0.9861242035777692,0.8735044293757906,1.0,0.9724409448818897,0.9815418569651401
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,2.96,0.0,1,77.73840582765787,104.00710227948544,1.6742862948288124,0.7474264420166331,5.493333333333333,3.28,3.28,0.772714293022186,0.8469248605773446,1.0,0.5970873786407767,0.7090745979360394
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,3.8,0.0,1,74.41656720445049,100.90532058613366,1.6583017515108065,0.7374817233666595,5.396666666666667,3.2533333333333334,3.2533333333333334,0.7764285286084354,0.8479101086203806,1.0,0.6028412600370598,0.7136226829975612
ABS C,C-15,0,Cylinder,5.426666666666667,3.313333333333334,0.0,1123.476821663564,3.235,0.2973774257292125,4,76.63396613120723,102.74488016444316,1.6373327969425724,0.745859259841424,5.426666666666667,3.313333333333334,3.313333333333334,0.7813866588092676,0.8491898664704434,1.0,0.6105651105651106,0.7197052254232054
ABS C,C-16,0,Cylinder,5.460000000000001,3.266666666666666,0.0,1119.9705245307755,3.9033333333333338,1.1412741417672911,6,76.48565456726861,102.8613983453063,1.670917066204224,0.7435725376585944,5.460000000000001,3.266666666666666,3.266666666666666,0.7734924681537617,0.8471331800717964,1.0,0.598290598290598,0.7100268719598126
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,3.856666666666667,0.3955165398985651,3,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989733887371464,5.433333333333334,5.316666666666667,5.316666666666667,0.9892055435358029,0.8735346230888423,1.0,0.9785276073619633,0.9856333471721652
ABS C,C-2,0,Cylinder,5.489999999999999,5.286666666666666,0.0,1118.5102892141804,4.613333333333333,0.3008875759039133,3,125.14586328933356,138.52491522849027,1.0382651453066885,0.9034111998676412,5.489999999999999,5.286666666666666,5.286666666666666,0.9813067629253163,0.8734416494605234,1.0,0.962962962962963,0.9751536617032364
ABS C,C-3,0,Cylinder,5.446666666666666,5.233333333333334,0.0,1140.522851236535,4.516,0.3385705244110894,5,121.93541873483838,136.14817821300198,1.040565497038782,0.8956015771470428,5.446666666666666,5.233333333333334,5.233333333333334,0.9802205432153998,0.8734248407507476,1.0,0.9608323133414935,0.9737147155864228
ABS C,C-4,0,Cylinder,5.396666666666666,5.239999999999999,0.0,1165.029569507883,3.66,0.1555634918610404,2,119.8594709481517,134.58752224916114,1.0297017108694269,0.8905623521614879,5.396666666666666,5.239999999999999,5.239999999999999,0.985377965251889,0.8734959537749843,1.0,0.9709697344039532,0.9805516209776017
ABS C,C-5,0,Cylinder,5.406666666666666,5.276666666666666,0.0,1146.3828340883151,4.425,0.7284000732198391,4,121.14590310702488,135.54464335766232,1.024442619844628,0.8937646397631456,5.406666666666666,5.276666666666666,5.276666666666666,0.9879046565117422,0.8735228162705619,1.0,0.9759556103575833,0.9839054736944605
ABS C,C-6,0,Cylinder,5.539999999999999,5.37,0.0,1122.6643940626736,4.098000000000001,0.5895506763629397,5,129.44452807918535,141.67200566922386,1.0314652764848258,0.9136851968921348,5.539999999999999,5.37,5.37,0.9845374951835927,0.8734858617010129,1.0,0.9693140794223828,0.9794366415623461
ABS C,C-7,0,Cylinder,5.443333333333334,5.36,0.0,1164.0331017352394,3.4799999999999995,0.0,1,124.73390851359645,138.20244819589186,1.0153578312503886,0.9025383240568392,5.443333333333334,5.36,5.36,0.9923158535541704,0.8735573230624968,1.0,0.9846907532149417,0.9897676152404887
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,4.45,0.4649014232429637,4,117.58860644866522,132.87015317178378,0.992318741022919,0.8849822075122628,5.336666666666666,5.296666666666667,5.296666666666667,0.996245293375152,0.8735749751404508,1.0,0.9925046845721426,0.9949968599675821
ABS C,C-9,0,Cylinder,5.333333333333333,3.266666666666667,0.0,1182.952505698218,3.256,0.3214498405661447,5,72.97803379005624,99.413954193597,1.6321534224217074,0.7340750129798532,5.333333333333333,3.266666666666667,3.266666666666667,0.7826237921249264,0.8495029312120264,1.0,0.6125000000000002,0.7212249274664975
ABS CUBE,CUBE-1,2,Cube,5.2,5.113333333333333,5.13,1035.8988434882212,3.778,0.571987762106848,5,136.40328,158.99346666666668,1.016750309587434,0.8579121202121498,5.2,5.13,5.113333333333333,0.9900195039241975,0.8059746608669373,0.9967511371020144,0.9865384615384615,0.9899310069411817
ABS CUBE,CUBE-10,2,Cube,3.016666666666667,2.986666666666667,3.1966666666666668,1006.9005220348412,3.942,0.6856894340734728,5,28.8012562962963,56.40086666666668,1.0097065714604487,0.5106436718931814,3.1966666666666668,3.016666666666667,2.986666666666667,0.9617770650192863,0.8056368107913839,0.9900552486187845,0.9436913451511992,0.9588995721310796
ABS CUBE,CUBE-11,2,Cube,3.056666666666666,3.0766666666666667,3.1833333333333336,1018.8006074278508,3.245,0.388908729652601,2,29.937163148148144,57.85757777777778,0.9931766489764972,0.5174196168998534,3.1833333333333336,3.0766666666666667,3.056666666666666,0.9767126203087787,0.8058687333773662,0.9934994582881905,0.9664921465968586,0.9754120081961384
ABS CUBE,CUBE-2,2,Cube,5.063333333333333,5.043333333333333,5.180000000000001,1028.9023828473678,3.2350000000000003,0.3850973902793942,4,132.27688288888888,155.7772222222222,1.0037666027886076,0.8491359125936873,5.180000000000001,5.063333333333333,5.043333333333333,0.9847693743174745,0.8059401724815546,0.9960500329163925,0.9774774774774773,0.9836295282625105
ABS CUBE,CUBE-3,2,Cube,3.11,3.083333333333333,3.783333333333333,1047.4375107433168,4.072,0.3810118108405566,5,36.27901388888888,66.04122222222222,1.0083216254187832,0.5493306050001682,3.783333333333333,3.11,3.083333333333333,0.8988826132252715,0.8024894622557268,0.9914255091103965,0.8220264317180617,0.875005033131822
ABS CUBE,CUBE-4,2,Cube,5.05,5.04,5.193333333333334,1028.894380360464,3.5316666666666667,0.3178941123497991,6,132.18072,155.70546666666667,1.0017853600476094,0.8489096363799064,5.193333333333334,5.05,5.04,0.9841510226067215,0.8059207532977732,0.998019801980198,0.9724005134788188,0.9808663576874248
ABS CUBE,CUBE-5,2,Cube,3.0700000000000003,3.053333333333333,3.796666666666667,1039.6488087554087,3.975000000000001,0.3348133808556638,4,35.588940888888885,65.24397777777779,1.0051293244570558,0.5454663653975579,3.796666666666667,3.0700000000000003,3.053333333333333,0.8943423500899418,0.8019618996009354,0.9945711183496198,0.8086040386303776,0.866368297248463
ABS CUBE,CUBE-6,2,Cube,5.06,5.05,5.186666666666667,1075.1885516035677,3.855,0.2192031021678293,2,132.53489333333334,155.9804,1.0017818253811126,0.8496839580445703,5.186666666666667,5.06,5.05,0.985761723417928,0.8059366702531913,0.9980237154150198,0.9755784061696656,0.9830035201054754
ABS CUBE,CUBE-7,2,Cube,2.983333333333334,2.9633333333333334,3.1466666666666665,1089.2049392415097,3.24,0.3218695387886216,3,27.818456296296297,55.10557777777778,1.00640953558979,0.504811901194023,3.1466666666666665,2.983333333333334,2.9633333333333334,0.9671731828031457,0.8057072071442366,0.9932960893854748,0.9480932203389832,0.9629275283260901
ABS CUBE,CUBE-8,2,Cube,5.206666666666666,5.156666666666666,5.052333333333333,1093.989292299615,3.9683333333333337,0.5068892055140517,6,135.6503222148148,158.41611777777774,1.0095004200866025,0.8562857607667155,5.206666666666666,5.156666666666666,5.052333333333333,0.9750515544251201,0.8059324544049219,0.9797672915319975,0.9903969270166454,0.9868409629814099
ABS CUBE,CUBE-9,2,Cube,5.1066666666666665,5.063333333333333,5.16,1039.5675862536796,3.414,0.5390083487294052,5,133.42085866666665,156.6679111111111,1.0083591127492926,0.8516103017531238,5.16,5.1066666666666665,5.063333333333333,0.9863769456380543,0.8059718850841945,0.9915143603133159,0.9896640826873384,0.9902804579300446
ABS HC,HC-1,1,Half Cylinder,5.266666666666667,5.216666666666666,0.0,1098.045142942569,2.7920000000000003,0.2921814504721338,5,56.82306261185064,82.68666666666665,1.0093911710215295,0.6872011861323613,5.266666666666667,5.216666666666666,5.216666666666666,0.9952418445352487,0.8644337833227671,1.0,0.9905063291139239,0.9936608291647453
ABS HC,HC-2,1,Half Cylinder,2.8366666666666664,3.2133333333333334,0.0,1260.5331733890926,2.5383333333333336,1.066347348037527,6,10.153885823309148,26.276988888888887,0.8825054443637872,0.3864026987088997,3.2133333333333334,2.8366666666666664,2.8366666666666664,0.9395637727092034,0.862972011898974,1.0,0.8827800829875518,0.9202412233398949
ABS HC,HC-3,1,Half Cylinder,5.23,5.19,0.0,1117.5036553480402,3.083333333333333,0.065064070986477,3,55.74817071422661,81.64030000000001,1.007513003274899,0.6828427611298031,5.23,5.19,5.19,0.9961685682873128,0.864436865873857,1.0,0.9923518164435946,0.9948946893581578
ABS HC,HC-4,1,Half Cylinder,5.21,5.266666666666667,0.0,1095.4839831311465,3.2099999999999995,0.0,1,56.139839222635246,82.02276666666667,0.9890527115104726,0.684433811126717,5.266666666666667,5.21,5.21,0.9946057039496172,0.8644313058121328,1.0,0.989240506329114,0.9928140793527647
ABS HC,HC-5,1,Half Cylinder,5.16,5.25,0.0,1116.6912297209628,2.856666666666667,0.1274100990241091,3,54.89320551580714,80.8056,0.9826699676252142,0.679315866721371,5.25,5.16,5.16,0.9913915184512841,0.8644138699006636,1.0,0.9828571428571429,0.9885385242083341
ABS HC,HC-6,1,Half Cylinder,5.25,5.22,0.0,1113.267611371968,2.932,0.2578177650977526,5,56.50007125325605,82.3725,1.0055544914767285,0.6859010634883311,5.25,5.22,5.22,0.9971387638065798,0.8644393760025899,1.0,0.9942857142857142,0.9961868388274627
ABS HC,HC-7,1,Half Cylinder,5.183333333333334,5.256666666666667,0.0,1141.1547117334012,3.135,0.1484924240491756,2,55.46111565584175,81.36105555555557,0.9858619159322892,0.6816582407750482,5.256666666666667,5.183333333333334,5.183333333333334,0.9930002321258049,0.8644236052138975,1.0,0.9860494610019024,0.99067788132064
ABS HC,HC-8,1,Half Cylinder,5.163333333333333,5.38,0.0,1104.2417224680005,2.528,0.8566037590391489,5,56.3251669219918,82.21747777777777,0.9595490305395526,0.6850670122381604,5.38,5.163333333333333,5.163333333333333,0.9796567691686425,0.8642810015182798,1.0,0.959727385377943,0.9729680775490589
ABS HC,HC-9,1,Half Cylinder,5.256666666666667,5.333333333333333,0.0,1100.6620331881986,2.96,0.3203123475609393,5,57.87346575110675,83.70365555555556,0.9854402299568832,0.6914007992386467,5.333333333333333,5.256666666666667,5.256666666666667,0.9927864825832391,0.8644224282847152,1.0,0.9856250000000001,0.9903935586659267
BSP,BSP-10,4,Box Shape Prism,4.8133333333333335,3.826666666666666,2.833333333333333,1111.383003306045,5.3500000000000005,0.0200000000000001,3,52.18722962962962,85.79804444444444,1.2575111033701996,0.6082495436580446,4.8133333333333335,3.826666666666666,2.833333333333333,0.6601830732708053,0.7871356162592298,0.740418118466899,0.7950138504155123,0.7763820318585422
BSP,BSP-11,4,Box Shape Prism,4.83,3.856666666666667,2.8800000000000003,1118.4061013079086,5.462,0.9701133954337507,5,53.64777600000001,87.29060000000001,1.252052190443273,0.6145811968161885,4.83,3.856666666666667,2.8800000000000003,0.6672873168291447,0.7880451992132906,0.7467588591184097,0.7984817115251899,0.780854486907449
BSP,BSP-12,4,Box Shape Prism,4.786666666666666,3.826666666666666,2.8466666666666662,1112.3400108434828,5.796666666666667,0.2079262689833428,3,52.14233007407405,85.6725333333333,1.250544282852913,0.6086165475538622,4.786666666666666,3.826666666666666,2.8466666666666662,0.665134854970956,0.7878365739752854,0.7439024390243902,0.7994428969359332,0.7804833205112206
BSP,BSP-16,4,Box Shape Prism,3.84,2.856666666666667,2.7566666666666664,1124.356074662182,6.2,2.090334901397381,5,30.239530666666663,58.86015555555555,1.343753645165053,0.5137434082163977,3.84,2.856666666666667,2.7566666666666664,0.8323171799537455,0.7974670539004213,0.9649941656942822,0.7439236111111112,0.8113230060501392
BSP,BSP-17,4,Box Shape Prism,4.833333333333333,4.816666666666666,2.8666666666666667,1123.8043969887592,5.783333333333334,0.3722006627255432,3,66.73759259259258,101.88777777777776,1.0032519200166057,0.6550043493322601,4.833333333333333,4.816666666666666,2.8666666666666667,0.5941286926854648,0.7809245186978963,0.5951557093425606,0.996551724137931,0.8392218151938283
BSP,BSP-18,4,Box Shape Prism,3.8233333333333337,2.81,2.33,1118.5454286106954,4.52,0.0,1,25.03251033333333,52.39846666666666,1.3601328115735802,0.4777245251860071,3.8233333333333337,2.81,2.33,0.7108560753542703,0.7897721508398686,0.8291814946619217,0.7349607672188316,0.7651136878149735
BSP,BSP-21,4,Box Shape Prism,3.83,3.79,2.853333333333333,1134.7687412127857,6.338333333333334,0.6465111496847266,6,41.41813066666666,72.5162,1.0102875230809814,0.5711490607285811,3.83,3.79,2.853333333333333,0.748916705201321,0.7983182954666578,0.752858399296394,0.9895561357702349,0.9033680447414209
BSP,BSP-23,4,Box Shape Prism,4.826666666666667,4.816666666666666,1.0266666666666666,1256.8918015399502,3.93,0.0,1,23.86840296296296,66.29786666666666,1.0018681242648586,0.3600122319279911,4.826666666666667,4.816666666666666,1.0266666666666666,0.21292787113890982,0.6046909628877956,0.21314878892733563,0.99792817679558,0.5965229358582405
BSP,BSP-24,4,Box Shape Prism,3.773333333333333,3.76,0.9866666666666668,1328.7077582055404,3.7266666666666666,0.8140229316999206,3,13.998563555555554,43.24124444444444,1.0032792696977757,0.3237242593533792,3.773333333333333,3.76,0.9866666666666668,0.26194731294152734,0.6495933784840954,0.26241134751773054,0.9964664310954064,0.6387084360265141
BSP,BSP-25,4,Box Shape Prism,3.85,2.813333333333333,2.3266666666666667,1150.7524510145404,5.4433333333333325,0.4240597442185082,6,25.200902222222226,52.66937777777778,1.3679971574085044,0.4784644288777963,3.85,2.813333333333333,2.3266666666666667,0.7069573388370747,0.789229535577706,0.8270142180094787,0.7307359307359307,0.7615141313849291
BSP,BSP-27,4,Box Shape Prism,2.8800000000000003,2.78,1.7966666666666669,1112.2827155715129,4.7125,0.2376797565352727,4,14.384832000000005,36.35106666666668,1.0355987055016185,0.3957087813439309,2.8800000000000003,2.78,1.7966666666666669,0.6349636570798672,0.7868709185956957,0.6462829736211032,0.9652777777777776,0.8444535717535822
BSP,BSP-28,4,Box Shape Prism,3.84,2.8666666666666667,2.7833333333333337,1142.337418186882,5.425,0.2706165799305975,4,30.63893333333333,59.349777777777774,1.339067767058003,0.5162347399734536,3.84,2.8666666666666667,2.7833333333333337,0.8389015760672796,0.7978369058218857,0.9709302325581396,0.7465277777777778,0.8148793695885037
BSP,BSP-29,4,Box Shape Prism,2.8166666666666664,2.3200000000000003,1.7933333333333332,1109.325234437399,4.826666666666667,0.0665832811847943,3,11.718835555555556,31.492844444444444,1.2135573746948152,0.3720992391458507,2.8166666666666664,2.3200000000000003,1.7933333333333332,0.7015349325922998,0.7922493225498651,0.7729885057471263,0.8236686390532546,0.8064164267441536
BSP,BSP-31,4,Box Shape Prism,2.3233333333333337,1.7966666666666666,1.7466666666666668,1056.0917720281186,4.460000000000001,1.216223663640862,2,7.291033037037038,22.741044444444448,1.292416094937883,0.3205970797765339,2.3233333333333337,1.7966666666666666,1.7466666666666668,0.8549102327322736,0.7995882955700818,0.9721706864564008,0.7733142037302725,0.8346123984042146
BSP,BSP-46,4,Box Shape Prism,4.78,3.8166666666666655,1.0266666666666666,1217.2877642172923,4.140000000000001,0.3535533905932729,2,18.73016444444444,54.13915555555555,1.2520736924823197,0.3459569750446064,4.78,3.8166666666666655,1.0266666666666666,0.24036619990561695,0.6299900745278029,0.268995633187773,0.7984658298465827,0.555587714143525
BSP,BSP-47,4,Box Shape Prism,4.76,4.7,2.353333333333333,1179.5146604238705,5.140000000000001,0.0424264068711922,2,52.64877333333333,89.26906666666665,1.012550521165709,0.5897696204252116,4.76,4.7,2.353333333333333,0.4975434817786329,0.7609836075694402,0.500709219858156,0.9873949579831933,0.7873886186047296
BSP,BSP-49,4,Box Shape Prism,2.853333333333333,2.303333333333333,1.78,1094.159573751902,3.8,0.3394112549695426,2,11.69847644444444,31.50208888888888,1.2382467814262983,0.3713437906265276,2.853333333333333,2.303333333333333,1.78,0.694329073885496,0.7910992543290545,0.7727930535455863,0.8072429906542055,0.7955923374677951
BSP,BSP-50,4,Box Shape Prism,2.833333333333333,2.856666666666667,2.78,1115.505426669715,5.335,0.1909188309203675,2,22.50101111111111,47.82417777777778,0.99148489443602,0.4704846308290427,2.856666666666667,2.833333333333333,2.78,0.9771611159493812,0.8059435707104653,0.9811764705882353,0.9918319719953324,0.9882673423135235
BSP,BSP-6,4,Box Shape Prism,4.8566666666666665,3.8333333333333335,2.31,1116.1289547491092,5.595,1.5250934397603315,6,43.00578333333333,77.38224444444444,1.266626097539772,0.5557505845365319,4.8566666666666665,3.8333333333333335,2.31,0.5353706251797835,0.7671154165362614,0.6026086956521739,0.789293067947838,0.7213908959160772
BSP,BSP-8,4,Box Shape Prism,4.863333333333333,4.846666666666667,2.333333333333333,1127.2953490918535,4.826666666666667,0.6013595707505892,3,54.99889629629629,92.45524444444445,1.003231795365468,0.5948640530099002,4.863333333333333,4.846666666666667,2.333333333333333,0.4806048960966112,0.7564645074149986,0.4814305364511691,0.9965729952021933,0.7819589490495817
BSP,BSP-9,4,Box Shape Prism,4.87,4.846666666666667,2.333333333333333,1125.752165862433,5.014,0.5186810195100644,5,55.07428888888888,92.55097777777776,1.0046070274358798,0.5950633385828359,4.87,4.846666666666667,2.333333333333333,0.48027582731712204,0.7563724678603692,0.4814305364511691,0.9952087611225188,0.7812451571582516
C,C-11,0,Cylinder,3.813333333333333,2.873333333333333,0.0,1411.3665063431592,6.06,0.0,1,32.81598405057665,57.26411313159378,1.326684448567784,0.5730536841019829,3.813333333333333,2.873333333333333,2.873333333333333,0.8680417636821994,0.8656158633255785,1.0,0.7534965034965035,0.8280454229077074
C,C-13,0,Cylinder,2.8200000000000003,2.883333333333333,0.0,1396.3115951266675,6.23,0.0,1,18.00872435576872,38.035890575542346,0.9776955969028086,0.4734541673432239,2.883333333333333,2.8200000000000003,2.8200000000000003,0.9889563600487764,0.8735327038458435,1.0,0.9780346820809251,0.985302316216342
C,C-14,0,Cylinder,2.8266666666666667,2.9166666666666665,0.0,1389.9875477865692,5.585,1.0617124532251343,4,18.303151510381067,38.45141856385715,0.9688106934765224,0.4759948058919985,2.9166666666666665,2.8266666666666667,2.8266666666666667,0.9844505356506528,0.8734854484659967,1.0,0.9691428571428572,0.9793212979287591
C,C-15,0,Cylinder,2.813333333333333,2.9066666666666667,0.0,1429.482626045254,5.49,0.0424264068711928,2,18.06872447030679,38.12273815912158,0.9675570331308035,0.4739494431236309,2.9066666666666667,2.813333333333333,2.813333333333333,0.9838139601860103,0.8734774586542878,1.0,0.9678899082568806,0.9784770439456224
C,C-16,0,Cylinder,2.806666666666666,2.89,0.0,1399.6415848421786,4.295,0.898025612106915,2,17.880077532867613,37.85605184941684,0.9708290095699296,0.4723050702413068,2.89,2.806666666666666,2.806666666666666,0.9854770096571813,0.8734976451202333,1.0,0.9711649365628602,0.9806830355650382
C,C-18,0,Cylinder,3.77,1.0033333333333332,0.0,1572.996762477667,4.11,0.169705627484771,2,11.199994841740097,34.20885476481682,3.753733820112845,0.3273908912720304,3.77,1.0033333333333332,1.0033333333333332,0.515883865504521,0.7076591683185587,1.0,0.2661361626878868,0.41374801871295724
C,C-19,0,Cylinder,4.79,2.853333333333333,0.0,1404.1639357964625,6.13,0.2083266665599963,6,51.41779141563708,78.97812087479817,1.678150181011328,0.651030181725462,4.79,2.853333333333333,2.853333333333333,0.7718066181438954,0.8466805961041632,1.0,0.5956854558107167,0.7079642553961463
C,C-22,0,Cylinder,4.833333333333333,2.303333333333333,0.0,1408.665925060924,4.578,0.5321841786449499,5,42.26103889752984,71.67020040389512,2.0974974685375383,0.5896516126334208,4.833333333333333,2.303333333333333,2.303333333333333,0.69032725872439,0.8186638590691384,1.0,0.47655172413793095,0.6101079677910827
C,C-23,0,Cylinder,2.81,0.9966666666666668,0.0,1563.7521690626409,3.3300000000000005,0.0,1,6.180910496542584,21.20161398140388,2.8165720013364512,0.2915164376413049,2.81,0.9966666666666668,0.9966666666666668,0.5955549063693399,0.7682162767663349,1.0,0.35468564650059314,0.5010669321369738
C,C-24,0,Cylinder,3.826666666666666,2.29,0.0,1416.140087392895,3.27,0.5091168824543141,2,26.33701980885783,50.531749888120935,1.670304088462098,0.5211871482784484,3.826666666666666,2.29,2.29,0.7735839034966595,0.8471575912829944,1.0,0.598432055749129,0.7101387848436351
C,C-25,0,Cylinder,4.77,2.8466666666666662,0.0,1426.340059770645,5.8740000000000006,0.6455850060216706,5,50.87017778219597,78.39860174996595,1.675055601076905,0.6488576044612122,4.77,2.8466666666666662,2.8466666666666662,0.7725189089659832,0.846872397062016,1.0,0.5967854647099929,0.7088355513551998
C,C-27,0,Cylinder,4.813333333333333,2.856666666666667,0.0,1394.1934659589124,5.37,1.0925200226998129,5,51.98060448157976,79.58966679140445,1.68435786772425,0.6530992461441911,4.813333333333333,2.856666666666667,2.856666666666667,0.7703832193844447,0.8462947662193869,1.0,0.5934903047091414,0.7062239134558618
C,C-29,0,Cylinder,2.83,1.0266666666666666,0.0,1476.0484037103697,3.01,0.0,1,6.4579133601893925,21.708143436917663,2.753811222834901,0.2974743512545655,2.83,1.0266666666666666,1.0266666666666666,0.6023119962873176,0.7725434560034412,1.0,0.36277974087161363,0.5086612851276091
